cluster	gene
5	ENSG00000197472
5	ENSG00000197594
5	ENSG00000197872
5	ENSG00000197921
5	ENSG00000197956
5	ENSG00000198780
5	ENSG00000198835
5	ENSG00000204385
5	ENSG00000213160
5	ENSG00000218416
5	ENSG00000229676
5	ENSG00000241978
5	ENSG00000243566
5	ENSG00000257446
5	ENSG00000267795
5	ENSG00000270800
6	ENSG00000021355
6	ENSG00000028277
6	ENSG00000046604
6	ENSG00000053747
6	ENSG00000058085
6	ENSG00000073737
6	ENSG00000100625
6	ENSG00000100985
6	ENSG00000100994
6	ENSG00000102243
6	ENSG00000102359
6	ENSG00000103187
6	ENSG00000105825
6	ENSG00000111057
6	ENSG00000111799
6	ENSG00000114638
6	ENSG00000114923
6	ENSG00000115008
6	ENSG00000116701
6	ENSG00000117407
6	ENSG00000117472
6	ENSG00000122694
6	ENSG00000124102
6	ENSG00000125730
6	ENSG00000127507
6	ENSG00000128340
6	ENSG00000128422
6	ENSG00000130054
6	ENSG00000133657
6	ENSG00000137124
6	ENSG00000138772
6	ENSG00000143816
6	ENSG00000149948
6	ENSG00000150630
6	ENSG00000151651
6	ENSG00000152784
6	ENSG00000154217
6	ENSG00000158089
6	ENSG00000158125
6	ENSG00000163216
6	ENSG00000163297
6	ENSG00000164465
6	ENSG00000167608
6	ENSG00000169247
6	ENSG00000170054
6	ENSG00000170477
6	ENSG00000171587
6	ENSG00000171903
6	ENSG00000172137
6	ENSG00000173210
6	ENSG00000178172
6	ENSG00000180287
6	ENSG00000181333
6	ENSG00000181885
6	ENSG00000182585
6	ENSG00000184497
6	ENSG00000185499
6	ENSG00000187244
6	ENSG00000204381
6	ENSG00000241794
6	ENSG00000243509
7	ENSG00000049089
7	ENSG00000064300
7	ENSG00000086548
7	ENSG00000099960
7	ENSG00000101342
7	ENSG00000107984
7	ENSG00000113578
7	ENSG00000113749
7	ENSG00000113763
7	ENSG00000116996
7	ENSG00000123689
7	ENSG00000134363
7	ENSG00000135318
7	ENSG00000135362
7	ENSG00000137731
7	ENSG00000137880
7	ENSG00000140937
